;qid;instanceLabel;dateBirth;pic;sex;instance;STR_ESID;STN_LABEL;STN_LABEL_FINAL
87;Q3954;Q1916821;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Neptuno%20colosal%20%28Museo%20del%20Prado%29%2001.jpg;male;Religion;10042410;Neptunstrasse;Neptun
88;Q3954;Q1916821;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Neptuno%20colosal%20%28Museo%20del%20Prado%29%2001.jpg;male;Religion;10006984;Neptunstrasse;Neptun
89;Q126916;Q205985;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Paris%20-%20Les%20Invalides%20-%20Fa%C3%A7ade%20nord%20-%20Statue%20de%20Minerve%20-%20PA00088714%20-%20004.jpg;female;Religion;10073007;Minervastrasse;Minerva
90;Q126916;Q205985;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Paris%20-%20Les%20Invalides%20-%20Fa%C3%A7ade%20nord%20-%20Statue%20de%20Minerve%20-%20PA00088714%20-%20004.jpg;female;Religion;10004319;Minervastrasse;Minerva
91;Q124408;Q5;1430-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Waldmann%20Portrait.jpg;male;Person;10175969;Waldmannstrasse;Waldmann
92;Q124408;Q5;1430-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Waldmann%20Portrait.jpg;male;Person;10107237;Waldmannstrasse;Waldmann
93;Q124408;Q5;1430-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Waldmann%20Portrait.jpg;male;Person;10100603;Waldmannstrasse;Waldmann
94;Q124408;Q5;1430-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Waldmann%20Portrait.jpg;male;Person;10004828;Waldmannstrasse;Waldmann
95;Q123053;Q5;1827-06-12T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Johanna-spyri.jpg;female;Person;10052366;Spyristeig;Spyristeig
96;Q110831852;Q5;1817-01-01T00:00:00Z;kein;male;Person;10022339;Beustweg;Beust
97;Q110831852;Q5;1817-01-01T00:00:00Z;kein;male;Person;10004295;Beustweg;Beust
98;Q120459;Q5;1848-04-15T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Richard%20Kissling%20%281848%E2%80%931919%29%20Bildhauer%2C%20Medailleur.jpg;male;Person;10058780;Richard-Kissling-Weg;Richard Kissling
99;Q119506;Q5;1755-02-20T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Hans%20Reinhard.jpg;male;Person;10035174;Reinhardstrasse;Reinhard
100;Q119506;Q5;1755-02-20T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Hans%20Reinhard.jpg;male;Person;10058778;Reinhardstrasse;Reinhard
101;Q9554;Q5;1483-11-19T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Lucas%20Cranach%20I%20-%20Martin%20Luther%20%281529%29%2C%20St.%20Anna%20in%20Augsburg.jpg;male;Person;10080521;Lutherstrasse;Luther
102;Q30693;Q5;1822-01-02T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Clausius.jpg;male;Person;10004221;Clausiusstrasse;Clausius
103;Q1607329;Q5;1907-03-31T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/ETH-BIB-Schmid%2C%20Karl%20%281907-1974%29-Portrait-Portr%2011649.tif;male;Person;10136492;Karl-Schmid-Strasse;Karl Schmid
104;Q1336378;Q5;1877-10-17T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/ETH%20Swissair%20LBS%20SR02-10259%20Ausschnitt%20Kl%C3%B6ti.tif;male;Person;10190089;Emil-Klöti-Strasse;Emil Klöti
105;Q1336378;Q5;1877-10-17T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/ETH%20Swissair%20LBS%20SR02-10259%20Ausschnitt%20Kl%C3%B6ti.tif;male;Person;10057384;Emil-Klöti-Strasse;Emil Klöti
106;Q937;Q5;1879-03-14T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Albert%20Einstein%20Head.jpg;male;Person;10202922;Albert-Einstein-Strasse;Albert Einstein
107;Q937;Q5;1879-03-14T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Albert%20Einstein%20Head.jpg;male;Person;10206955;Albert-Einstein-Strasse;Albert Einstein
108;Q65989;Q5;1900-04-25T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/ETH-BIB-Pauli%2C%20Wolfgang.tif;male;Person;10139558;Wolfgang-Pauli-Strasse;Wolfgang Pauli
109;Q68325;Q5;1815-08-11T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/ETH-BIB-Kinkel%2C%20Gottfried%20%281815-1882%29-Portrait-Portr%2000159.tif%20%28cropped%29.jpg;male;Person;10081632;Kinkelstrasse;Kinkel
110;Q1609970;Q5;1878-05-22T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/%28UAZ%29%20AB.1.1020%20Tieche.tif;male;Person;10007017;Tièchestrasse;Tieche
111;Q1579521;Q5;1500-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/HansFranzNaegeli.jpg;male;Person;10062379;Nägeligasse;Nägeli
112;Q1579521;Q5;1500-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/HansFranzNaegeli.jpg;male;Person;10090155;Nägeligasse;Nägeli
113;Q30693;Q5;1822-01-02T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Clausius.jpg;male;Person;10167419;Clausiussteig;Clausiussteig
114;Q2226220;Q5;1798-01-01T00:00:00Z;kein;male;Person;10025601;Zehnderweg;Zehnder
115;Q2226220;Q5;1798-01-01T00:00:00Z;kein;male;Person;10081645;Zehnderweg;Zehnder
116;Q3118353;;;;;;10210719;Route de la Grève;Greve
117;Q123765;Q5;1730-04-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Anton%20Graff%20Salomon%20Gessner.jpg;male;Person;10006630;Gessnerallee;Gessner
118;Q123034;Q5;1484-01-10T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Zwingli%20Hans%20Asper.jpeg;male;Person;10091108;Zwinglistrasse;Zwingli
119;Q123034;Q5;1484-01-10T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Zwingli%20Hans%20Asper.jpeg;male;Person;10105263;Zwinglistrasse;Zwingli
120;Q123034;Q5;1484-01-10T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Zwingli%20Hans%20Asper.jpeg;male;Person;10101753;Zwinglistrasse;Zwingli
121;Q123034;Q5;1484-01-10T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Zwingli%20Hans%20Asper.jpeg;male;Person;10087453;Zwinglistrasse;Zwingli
122;Q123034;Q5;1484-01-10T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Zwingli%20Hans%20Asper.jpeg;male;Person;10113189;Zwinglistrasse;Zwingli
123;Q123034;Q5;1484-01-10T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Zwingli%20Hans%20Asper.jpeg;male;Person;10176531;Zwinglistrasse;Zwingli
124;Q123034;Q5;1484-01-10T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Zwingli%20Hans%20Asper.jpeg;male;Person;10106492;Zwinglistrasse;Zwingli
125;Q123034;Q5;1484-01-10T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Zwingli%20Hans%20Asper.jpeg;male;Person;10051306;Zwinglistrasse;Zwingli
126;Q123034;Q5;1484-01-10T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Zwingli%20Hans%20Asper.jpeg;male;Person;10159206;Zwinglistrasse;Zwingli
127;Q123034;Q5;1484-01-10T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Zwingli%20Hans%20Asper.jpeg;male;Person;10124162;Zwinglistrasse;Zwingli
128;Q123034;Q5;1484-01-10T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Zwingli%20Hans%20Asper.jpeg;male;Person;10004205;Zwinglistrasse;Zwingli
129;Q123034;Q5;1484-01-10T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Zwingli%20Hans%20Asper.jpeg;male;Person;10058973;Zwinglistrasse;Zwingli
130;Q123839;Q5;1504-07-28T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Heinrich%20Bullinger.jpg;male;Person;10127983;Bullingerstrasse;Bullinger
131;Q123839;Q5;1504-07-28T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Heinrich%20Bullinger.jpg;male;Person;10009148;Bullingerstrasse;Bullinger
132;Q1647505;Q5;1813-09-12T00:00:00Z;kein;male;Person;10118017;Fierzgasse;Fierz
133;Q76685;Q5;1776-05-04T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Johann%20F%20Herbart.jpg;male;Person;10006342;Herbartstrasse;Herbart
134;Q1303505;Q5;1808-06-11T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Johann%20Konrad%20Kern.jpg;male;Person;10188587;Kernstrasse;Kern
135;Q1303505;Q5;1808-06-11T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Johann%20Konrad%20Kern.jpg;male;Person;10057407;Kernstrasse;Kern
136;Q1303505;Q5;1808-06-11T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Johann%20Konrad%20Kern.jpg;male;Person;10106345;Kernstrasse;Kern
137;Q1303505;Q5;1808-06-11T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Johann%20Konrad%20Kern.jpg;male;Person;10109006;Kernstrasse;Kern
138;Q2138725;Q5;1761-03-05T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Regula%20Engel-Egli2.jpg;female;Person;10000033;Engelstrasse;Engel
139;Q2138725;Q5;1761-03-05T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Regula%20Engel-Egli2.jpg;female;Person;10038920;Engelstrasse;Engel
140;Q2138725;Q5;1761-03-05T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Regula%20Engel-Egli2.jpg;female;Person;10085174;Engelstrasse;Engel
141;Q2138725;Q5;1761-03-05T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Regula%20Engel-Egli2.jpg;female;Person;10110781;Engelstrasse;Engel
142;Q2138725;Q5;1761-03-05T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Regula%20Engel-Egli2.jpg;female;Person;10111577;Engelstrasse;Engel
143;Q49325;Q5;1875-01-14T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20Albert%20Schweitzer%20LCCN2003667269.jpg;male;Person;10077452;Albert Schweitzer-Strasse;Albert Schweitzer
144;Q676457;Q5;1594-10-27T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Wettstein%2C%20Johann%20Rudolf.jpg;male;Person;10181513;Wettsteinallee;Wettstein
145;Q690990;Q5;1160-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Berthold%20V.jpg;male;Person;10008008;Berchtoldstrasse;Berchtold
146;Q690990;Q5;1160-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Berthold%20V.jpg;male;Person;10104136;Berchtoldstrasse;Berchtold
147;Q892874;Q13417114;9999;kein;;Person;10084833;Bonstettenstrasse;Bonstetten
148;Q892874;Q13417114;9999;kein;;Person;10063136;Bonstettenstrasse;Bonstetten
149;Q1156777;Q8436;9999;kein;;Person;10188564;Daxelhoferstrasse;Daxelhofer
150;Q15621581;Q5;1790-06-07T00:00:00Z;kein;male;Person;10046183;Simonstrasse;Simon
151;Q15621581;Q5;1790-06-07T00:00:00Z;kein;male;Person;10009644;Simonstrasse;Simon
152;Q15621581;Q5;1790-06-07T00:00:00Z;kein;male;Person;10033298;Simonstrasse;Simon
153;Q15621581;Q5;1790-06-07T00:00:00Z;kein;male;Person;10046696;Simonstrasse;Simon
154;Q1296211;Q8436;9999;kein;;Person;10006579;Effingerstrasse;Effinger
155;Q1296211;Q8436;9999;kein;;Person;10008958;Effingerstrasse;Effinger
156;Q1296211;Q8436;9999;kein;;Person;10098542;Effingerstrasse;Effinger
157;Q105428;Q5;1746-01-12T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Johann%20Heinrich%20Pestalozzi%20%28Real%20Academia%20de%20Bellas%20Artes%20de%20San%20Fernando%2C%20Madrid%29.jpg;male;Person;10187854;Pestalozzistrasse;Pestalozzi
158;Q105428;Q5;1746-01-12T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Johann%20Heinrich%20Pestalozzi%20%28Real%20Academia%20de%20Bellas%20Artes%20de%20San%20Fernando%2C%20Madrid%29.jpg;male;Person;10026488;Pestalozzistrasse;Pestalozzi
159;Q105428;Q5;1746-01-12T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Johann%20Heinrich%20Pestalozzi%20%28Real%20Academia%20de%20Bellas%20Artes%20de%20San%20Fernando%2C%20Madrid%29.jpg;male;Person;10023318;Pestalozzistrasse;Pestalozzi
160;Q105428;Q5;1746-01-12T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Johann%20Heinrich%20Pestalozzi%20%28Real%20Academia%20de%20Bellas%20Artes%20de%20San%20Fernando%2C%20Madrid%29.jpg;male;Person;10069286;Pestalozzistrasse;Pestalozzi
161;Q105428;Q5;1746-01-12T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Johann%20Heinrich%20Pestalozzi%20%28Real%20Academia%20de%20Bellas%20Artes%20de%20San%20Fernando%2C%20Madrid%29.jpg;male;Person;10093377;Pestalozzistrasse;Pestalozzi
162;Q105428;Q5;1746-01-12T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Johann%20Heinrich%20Pestalozzi%20%28Real%20Academia%20de%20Bellas%20Artes%20de%20San%20Fernando%2C%20Madrid%29.jpg;male;Person;10188568;Pestalozzistrasse;Pestalozzi
163;Q105428;Q5;1746-01-12T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Johann%20Heinrich%20Pestalozzi%20%28Real%20Academia%20de%20Bellas%20Artes%20de%20San%20Fernando%2C%20Madrid%29.jpg;male;Person;10029354;Pestalozzistrasse;Pestalozzi
164;Q105428;Q5;1746-01-12T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Johann%20Heinrich%20Pestalozzi%20%28Real%20Academia%20de%20Bellas%20Artes%20de%20San%20Fernando%2C%20Madrid%29.jpg;male;Person;10009310;Pestalozzistrasse;Pestalozzi
165;Q105428;Q5;1746-01-12T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Johann%20Heinrich%20Pestalozzi%20%28Real%20Academia%20de%20Bellas%20Artes%20de%20San%20Fernando%2C%20Madrid%29.jpg;male;Person;10063875;Pestalozzistrasse;Pestalozzi
166;Q105428;Q5;1746-01-12T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Johann%20Heinrich%20Pestalozzi%20%28Real%20Academia%20de%20Bellas%20Artes%20de%20San%20Fernando%2C%20Madrid%29.jpg;male;Person;10090952;Pestalozzistrasse;Pestalozzi
167;Q105428;Q5;1746-01-12T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Johann%20Heinrich%20Pestalozzi%20%28Real%20Academia%20de%20Bellas%20Artes%20de%20San%20Fernando%2C%20Madrid%29.jpg;male;Person;10074047;Pestalozzistrasse;Pestalozzi
168;Q105428;Q5;1746-01-12T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Johann%20Heinrich%20Pestalozzi%20%28Real%20Academia%20de%20Bellas%20Artes%20de%20San%20Fernando%2C%20Madrid%29.jpg;male;Person;10031224;Pestalozzistrasse;Pestalozzi
169;Q105428;Q5;1746-01-12T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Johann%20Heinrich%20Pestalozzi%20%28Real%20Academia%20de%20Bellas%20Artes%20de%20San%20Fernando%2C%20Madrid%29.jpg;male;Person;10103533;Pestalozzistrasse;Pestalozzi
170;Q105428;Q5;1746-01-12T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Johann%20Heinrich%20Pestalozzi%20%28Real%20Academia%20de%20Bellas%20Artes%20de%20San%20Fernando%2C%20Madrid%29.jpg;male;Person;10103152;Pestalozzistrasse;Pestalozzi
171;Q105428;Q5;1746-01-12T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Johann%20Heinrich%20Pestalozzi%20%28Real%20Academia%20de%20Bellas%20Artes%20de%20San%20Fernando%2C%20Madrid%29.jpg;male;Person;10033377;Pestalozzistrasse;Pestalozzi
172;Q105428;Q5;1746-01-12T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Johann%20Heinrich%20Pestalozzi%20%28Real%20Academia%20de%20Bellas%20Artes%20de%20San%20Fernando%2C%20Madrid%29.jpg;male;Person;10110613;Pestalozzistrasse;Pestalozzi
173;Q105428;Q5;1746-01-12T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Johann%20Heinrich%20Pestalozzi%20%28Real%20Academia%20de%20Bellas%20Artes%20de%20San%20Fernando%2C%20Madrid%29.jpg;male;Person;10046693;Pestalozzistrasse;Pestalozzi
174;Q105428;Q5;1746-01-12T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Johann%20Heinrich%20Pestalozzi%20%28Real%20Academia%20de%20Bellas%20Artes%20de%20San%20Fernando%2C%20Madrid%29.jpg;male;Person;10089776;Pestalozzistrasse;Pestalozzi
