;STR_ESID;STN_LABEL_FINAL;wikiQLabel;wikiQ;givenname;familyname;sex;birth;death;placebirth;placedeath;image
32162;10057946;Jäger;http://www.wikidata.org/entity/Q45243;Franz Jägerstätter;Franz;Huber;männlich;1907-05-20T00:00:00Z;1943-08-09T00:00:00Z;http://www.wikidata.org/entity/Q669185;http://www.wikidata.org/entity/Q315280;
32163;10057947;Unterfeld;;;;;;;;;;
32164;10057948;Birken;;;;;;;;;;
32165;10057949;Finken;;;;;;;;;;
32166;10057950;Lerchen;http://www.wikidata.org/entity/Q213978;Hugo Graf von und zu Lerchenfeld auf Köfering und Schönberg;Hugo;;männlich;1871-08-21T00:00:00Z;1944-04-13T00:00:00Z;http://www.wikidata.org/entity/Q491602;http://www.wikidata.org/entity/Q1726;
32167;10057951;Rousseau;http://www.wikidata.org/entity/Q6527;Jean-Jacques Rousseau;Jean-Jacques;Rousseau;männlich;1712-06-28T00:00:00Z;1778-07-02T00:00:00Z;http://www.wikidata.org/entity/Q71;http://www.wikidata.org/entity/Q391953;
32168;10057952;Tannen;;;;;;;;;;
32169;10057953;Charriere;http://www.wikidata.org/entity/Q123386;Isabelle de Charrière;Agneta;;weiblich;1740-10-20T00:00:00Z;1805-12-27T00:00:00Z;http://www.wikidata.org/entity/Q2131198;http://www.wikidata.org/entity/Q70339;
32170;10057954;Hübeli;;;;;;;;;;
32171;10057955;Dorf;http://www.wikidata.org/entity/Q5389800;Erling Dorf;Erling;Dorf;männlich;1905-07-19T00:00:00Z;1984-04-16T00:00:00Z;http://www.wikidata.org/entity/Q18355533;http://www.wikidata.org/entity/Q138518;
32172;10057956;Holzmatt;;;;;;;;;;
32173;10057957;Biel;http://www.wikidata.org/entity/Q21391665;Burkhard Biel;Burkhard;Biel;männlich;;;;;
32174;10057958;Grien;http://www.wikidata.org/entity/Q164696;Hans Baldung;Hans;Baldung;männlich;1484-01-01T00:00:00Z;1545-09-01T00:00:00Z;http://www.wikidata.org/entity/Q4037;http://www.wikidata.org/entity/Q6602;
32175;10057959;Kerbel;http://www.wikidata.org/entity/Q1825742;Karbalayi Safikhan Karabakhi;;;männlich;1817-01-01T00:00:00Z;1910-01-01T00:00:00Z;http://www.wikidata.org/entity/Q158903;http://www.wikidata.org/entity/Q158903;
32176;10057960;Scheuermatt;;;;;;;;;;
32177;10057961;See;;;;;;;;;;
32178;10057962;Aalmatten;;;;;;;;;;
32179;10057963;Barben;http://www.wikidata.org/entity/Q4860448;Barent Gael;Barent;;männlich;1630-01-01T00:00:00Z;1698-10-17T00:00:00Z;http://www.wikidata.org/entity/Q9920;http://www.wikidata.org/entity/Q727;
32180;10057964;Buchen;http://www.wikidata.org/entity/Q10899998;Q10899998;;Liu;männlich;1857-01-01T00:00:00Z;1917-01-01T00:00:00Z;;;
32181;10057965;Eduard Will;http://www.wikidata.org/entity/Q213954;Herbert von Dirksen;Herbert;;männlich;1882-04-02T00:00:00Z;1955-12-19T00:00:00Z;http://www.wikidata.org/entity/Q64;http://www.wikidata.org/entity/Q1726;
32182;10057966;Föhren;;;;;;;;;;
32183;10057989;Spitzibüel;;;;;;;;;;
32184;10057991;Unterdorf;;;;;;;;;;
32185;10057993;Kino;http://www.wikidata.org/entity/Q187550;Toyotomi Hideyoshi;;Toyotomi;männlich;1537-03-27T00:00:00Z;1598-09-18T00:00:00Z;http://www.wikidata.org/entity/Q780521;http://www.wikidata.org/entity/Q1196273;
32186;10057994;Gewerbe;;;;;;;;;;
32187;10057995;Weidli;http://www.wikidata.org/entity/Q57271;Helmuth Weidling;Helmuth;Weidling;männlich;1891-11-02T00:00:00Z;1955-11-17T00:00:00Z;http://www.wikidata.org/entity/Q7072;http://www.wikidata.org/entity/Q240549;
32188;10057996;Dorf;http://www.wikidata.org/entity/Q5389800;Erling Dorf;Erling;Dorf;männlich;1905-07-19T00:00:00Z;1984-04-16T00:00:00Z;http://www.wikidata.org/entity/Q18355533;http://www.wikidata.org/entity/Q138518;
32189;10057997;Sägel;http://www.wikidata.org/entity/Q66993385;Hille Sagel;;Sagel;weiblich;1944-07-19T00:00:00Z;;;;
32190;10058024;Mattli;http://www.wikidata.org/entity/Q122128;Mattli Conrad;Matthias;Conrad;männlich;1745-01-15T00:00:00Z;1832-12-26T00:00:00Z;http://www.wikidata.org/entity/Q64359;http://www.wikidata.org/entity/Q64359;
32191;10058044;Fuchsenen;;;;;;;;;;
32192;10058045;Kleinmichelmatt;;;;;;;;;;
32193;10058047;Altmatt;;;;;;;;;;
32194;10058048;Biberstock;;;;;;;;;;
32195;10058052;Seilegg;;;;;;;;;;
32196;10058053;Moos;;;;;;;;;;
32197;10058054;Nideristmatt;;;;;;;;;;
32198;10058055;Stafel;;;;;;;;;;
32199;10058064;Höhen;;;;;;;;;;
32200;10058067;Dörfli;;;;;;;;;;
32201;10058068;Feld;http://www.wikidata.org/entity/Q47117115;J. Feld;;;;;;;;
32202;10058069;Grossacker;;;;;;;;;;
32203;10058070;Kalchofen;;;;;;;;;;
32204;10058071;Meikirch;;;;;;;;;;
32205;10058072;Kirch;http://www.wikidata.org/entity/Q102281568;Kirch;;;männlich;;;;;
32206;10058073;Längimoos;;;;;;;;;;
32207;10058074;Mooshübeli;;;;;;;;;;
32208;10058076;Schlossstalden;;;;;;;;;;
32209;10058077;Selibühl;;;;;;;;;;
