;STR_ESID;STN_LABEL_FINAL;wikiQLabel;wikiQ;sex;birth;death;placebirth;placedeath;image
271;10007388;Moulin;;;;;;;;
272;10007665;Lucens;;;;;;;;
273;10007669;Galites;;;;;;;;
274;10007670;Siernes Picaz;;;;;;;;
275;10007672;Blancsottet;;;;;;;;
276;10007678;Jonchere;;;;;;;;
277;10007679;Montelly;;;;;;;;
278;10007690;Praz Jaquet;;;;;;;;
279;10008289;Neuve;;;;;;;;
280;10008290;Principale;;;;;;;;
281;10008291;Combe Grede;;;;;;;;
282;10008292;Cote;;;;;;;;
283;10008293;Longines;;;;;;;;
284;10008294;Planches;;;;;;;;
285;10008508;Pre Paroz;;;;;;;;
286;10008721;Moron;;;;;;;;
287;10008722;Charles Schäublin;http://www.wikidata.org/entity/Q78070734;Charles Schäublin;masculin;1883-08-23T00:00:00Z;1958-03-28T00:00:00Z;http://www.wikidata.org/entity/Q67092;http://www.wikidata.org/entity/Q70;
288;10008723;Lilas;;;;;;;;
289;10008724;Mesanges;;;;;;;;
290;10008725;Pont;;;;;;;;
291;10008726;Colons;;;;;;;;
292;10008731;Liberte;;;;;;;;
293;10008732;Champ Iselet;;;;;;;;
294;10008734;Mercier;http://www.wikidata.org/entity/Q102282856;Mercier;masculin;;;;;
295;10008735;Val;http://www.wikidata.org/entity/Q20127315;Val;féminin;1967-05-20T00:00:00Z;2016-10-25T00:00:00Z;http://www.wikidata.org/entity/Q172455;http://www.wikidata.org/entity/Q869;
296;10008736;Graitery;;;;;;;;
297;10008737;Piscine;;;;;;;;
298;10008738;Bosquets;;;;;;;;
299;10008739;Cerisiers;;;;;;;;
300;10008740;Combattes;;;;;;;;
